Date,PNB Price,PNB Open,PNB High,PNB Low,PNB Vol.,Change %,HDFC Price,HDFC Open,HDFC High,HDFC Low,HDFC Vol.,HDFC Change %,,,Dropdown,,,,,,,,,Date,HDFC Price,PNB Price
11-07-2024,799.75,807.1,808.8,795.05,502.25K,-0.92%,634.25,635.95,636.6,629.3,3.57M,0.24%,,,,,,,,,,,,11-07-2024,634.25,799.75
10-07-2024,807.15,797.45,810.5,770.45,1.26M,1.75%,632.75,624,640.75,615.6,6.19M,1.46%,,,,,,,,,,,,10-07-2024,632.75,807.15
09-07-2024,793.3,798.8,798.8,788.25,694.29K,0.03%,623.65,622,629.35,620.9,5.00M,0.44%,,,,,,,,,,,,09-07-2024,623.65,793.3
08-07-2024,793.1,802.65,803,782.6,1.82M,0.06%,620.9,609,622.05,608.6,6.80M,2.23%,,,,,,,,,,,,08-07-2024,620.90,793.1
05-07-2024,792.6,808.8,809.9,791.1,719.77K,-2.01%,607.35,606.2,608.8,600.65,3.49M,0.56%,,,,,,,,,,,,05-07-2024,607.35,792.6
04-07-2024,808.85,800.8,809.9,795.05,1.17M,1.04%,603.95,596,607.3,594.3,5.03M,1.31%,,,,,,,,,,,,04-07-2024,603.95,808.85
03-07-2024,800.55,795.9,812.75,791.05,1.55M,0.52%,596.15,592.4,598.85,590.5,2.13M,1.08%,,,,,,,,,,,,03-07-2024,596.15,800.55
02-07-2024,796.4,800,802.25,783.2,858.74K,-0.48%,589.8,603.7,603.75,586.5,6.48M,-1.82%,,,,,,,,,,,,02-07-2024,589.80,796.4
01-07-2024,800.25,786,802.5,780.5,1.14M,1.97%,600.75,590.15,603.05,589.6,3.34M,0.96%,,,,,,,,,,,,01-07-2024,600.75,800.25
28-06-2024,784.8,792.8,795.85,780,1.61M,-0.08%,595.05,594,599.8,590,3.65M,0.30%,,,,,,,,,,,,28-06-2024,595.05,784.8
27-06-2024,785.4,793.05,808.05,781,2.20M,-0.81%,593.25,589.05,595,586.6,4.77M,0.71%,,,,,,,,,,,,27-06-2024,593.25,785.4
26-06-2024,791.85,795.55,804.3,790,3.15M,1.31%,589.05,591.65,599,587.2,3.67M,-0.32%,,,,,,,,,,,,26-06-2024,589.05,791.85
25-06-2024,781.6,771,786.7,766.1,2.24M,1.72%,590.95,579,592.25,576.95,6.59M,1.98%,,,,,,,,,,,,25-06-2024,590.95,781.6
24-06-2024,768.4,782.5,782.85,762.45,2.02M,-1.93%,579.5,580,582.45,575.65,3.23M,-0.25%,,,,,,,,,,,,24-06-2024,579.50,768.4
21-06-2024,783.5,794,805,779.2,2.32M,-1.05%,580.95,588,592.6,580,7.26M,-1.55%,,,,,,,,,,,,21-06-2024,580.95,783.5
20-06-2024,791.8,803,813.35,785,23.66M,-5.74%,590.1,596.2,597.5,582.7,6.13M,-1.02%,,,,,,,,,,,,20-06-2024,590.10,791.8
19-06-2024,840,868.8,884.35,836,2.81M,-2.87%,596.2,602.1,605.15,592.35,4.45M,-0.83%,,,,,,,,,,,,19-06-2024,596.20,840
18-06-2024,864.8,837.4,903.25,832.95,4.43M,3.82%,601.2,596.85,605,591.8,5.12M,0.48%,,,,,,,,,,,,18-06-2024,601.20,864.8
14-06-2024,832.95,832.3,847.85,815,1.18M,0.08%,598.35,599.15,601.8,594.05,7.31M,0.82%,,,,,,,,,,,,14-06-2024,598.35,832.95
13-06-2024,832.3,820,835.7,806.4,1.19M,1.90%,593.5,565,598.4,565,24.35M,3.63%,,,,,,,,,,,,13-06-2024,593.50,832.3
12-06-2024,816.75,813,820,800.1,1.83M,1.06%,572.7,571.7,577.75,569.6,4.30M,0.17%,,,,,,,,,,,,12-06-2024,572.70,816.75
11-06-2024,808.15,773,818.55,764.1,4.06M,5.76%,571.7,571.5,576.9,566.2,6.42M,0.44%,,,,,,,,,,,,11-06-2024,571.70,808.15
10-06-2024,764.1,751.9,774,751.5,1.22M,2.36%,569.2,563.25,574.55,561.3,3.86M,1.11%,,,,,,,,,,,,10-06-2024,569.20,764.1
07-06-2024,746.5,738,752.8,732.65,1.03M,0.96%,562.95,555.05,563.6,553.5,3.38M,1.39%,,,,,,,,,,,,07-06-2024,562.95,746.5
06-06-2024,739.4,716,745,716,1.04M,3.69%,555.25,555,558.75,550.4,3.97M,0.60%,,,,,,,,,,,,06-06-2024,555.25,739.4
05-06-2024,713.1,679,720.05,657.25,1.11M,6.12%,551.95,540,554.3,536.1,3.23M,3.27%,,,,,,,,,,,,05-06-2024,551.95,713.1
04-06-2024,671.95,731.45,734.45,616.6,1.91M,-7.84%,534.45,555,555,511.4,9.78M,-2.84%,,,,,,,,,,,,04-06-2024,534.45,671.95
03-06-2024,729.15,749.95,752,724.05,2.23M,0.86%,550.1,568.95,569.25,547.05,9.26M,0.05%,,,,,,,,,,,,03-06-2024,550.10,729.15
31-05-2024,722.9,745,746.1,717,1.56M,-3.02%,549.85,551.9,556.3,546.55,9.71M,-0.16%,,,,,,,,,,,,31-05-2024,549.85,722.9
30-05-2024,745.4,730,748.7,726.25,1.53M,1.31%,550.75,552.75,563.85,548.25,6.31M,-1.98%,,,,,,,,,,,,30-05-2024,550.75,745.4
29-05-2024,735.75,744,750.9,724,12.94M,-6.61%,561.85,578.45,578.45,560.9,6.26M,-2.87%,,,,,,,,,,,,29-05-2024,561.85,735.75
28-05-2024,787.8,802.5,802.5,786,247.50K,-1.38%,578.45,567,579.95,563.65,5.80M,2.52%,,,,,,,,,,,,28-05-2024,578.45,787.8
27-05-2024,798.85,800,809.8,792.85,549.82K,0.30%,564.25,565.2,569.3,562.1,2.62M,-0.15%,,,,,,,,,,,,27-05-2024,564.25,798.85
24-05-2024,796.45,800,807,790.5,494.83K,-0.28%,565.1,565,571.8,563.45,3.43M,-0.10%,,,,,,,,,,,,24-05-2024,565.10,796.45
23-05-2024,798.65,750.6,814,750.6,2.82M,7.15%,565.65,564,569.2,558.05,7.11M,0.94%,,,,,,,,,,,,23-05-2024,565.65,798.65
